datetime,symbol,exchtime,localtime,last_prc,status,prev_close,open,high,low,high_limited,low_limited,volume,turnover,num_trades,weighted_ask_prc,weighted_bid_prc,total_ask_vol,total_bid_vol,ask_prc1,ask_vol1,bid_prc1,bid_vol1,ask_prc2,ask_vol2,bid_prc2,bid_vol2,ask_prc3,ask_vol3,bid_prc3,bid_vol3,ask_prc4,ask_vol4,bid_prc4,bid_vol4,ask_prc5,ask_vol5,bid_prc5,bid_vol5,ask_prc6,ask_vol6,bid_prc6,bid_vol6,ask_prc7,ask_vol7,bid_prc7,bid_vol7,ask_prc8,ask_vol8,bid_prc8,bid_vol8,ask_prc9,ask_vol9,bid_prc9,bid_vol9,ask_prc10,ask_vol10,bid_prc10,bid_vol10,num
2019-06-11 08:59:51.000,000001.SZ,1.56021E+15,1.56022E+15,0,70,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174
2019-06-11 09:15:00.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13547
2019-06-11 09:15:00.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13548
2019-06-11 09:15:09.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.34,30100,12.34,30100,0,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416105
2019-06-11 09:15:18.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.35,36800,12.35,36800,0,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426458
2019-06-11 09:15:54.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.35,40500,12.35,40500,0,0,0,85700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441253
2019-06-11 09:16:21.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.38,42700,12.38,42700,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454829
2019-06-11 09:16:48.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.4,52100,12.4,52100,0,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469920
2019-06-11 09:16:57.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.38,50300,12.38,50300,0,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475262
2019-06-11 09:17:24.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.38,64700,12.38,64700,0,58100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492408
2019-06-11 09:17:33.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.38,65200,12.38,65200,0,57900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498363
2019-06-11 09:17:51.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.38,67000,12.38,67000,0,56100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510249
2019-06-11 09:18:09.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.38,67000,12.38,67000,0,56000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522558
2019-06-11 09:18:18.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.38,67000,12.38,67000,0,57800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528915
2019-06-11 09:18:27.000,000001.SZ,1.56022E+15,1.56022E+15,0,73,12.34,0,0,0,13.57,11.11,0,0,0,0,0,0,0,12.38,70200,12.38,70200,0,54600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535526
